fpl_id,gw,mins,G,A,xG,xA,Pts,CS,dc,bps,starts,saves
445,1,90,0,0,0.0,0.0,3,0,15,0,1,0
446,1,1,0,0,0.0,0.0,1,0,0,-1,0,0
447,1,90,0,0,0.0,0.01,3,0,10,4,1,0
449,1,90,0,0,0.0,0.35,3,0,11,8,1,0
453,1,90,0,0,0.07,0.02,2,0,8,12,1,0
454,1,75,1,0,0.22,0.01,9,0,2,31,1,0
455,1,90,0,0,0.04,0.06,2,0,4,14,1,0
456,1,34,0,0,0.06,0.01,0,0,6,1,0,0
457,1,14,0,0,0.0,0.0,0,0,2,-1,0,0
459,1,75,0,0,0.05,0.01,3,0,13,13,1,0
460,1,34,1,0,0.09,0.17,6,0,3,28,0,0
462,1,55,0,0,0.0,0.0,1,0,2,3,1,0
464,1,90,0,1,1.0,0.02,4,0,8,7,1,0
465,1,55,0,1,0.06,0.14,4,0,5,18,1,0
467,1,90,0,0,0.0,0.0,2,0,0,11,1,2
469,1,90,0,0,0.0,0.02,2,0,6,13,1,0
471,1,90,0,0,0.11,0.02,2,0,7,4,1,0
472,1,90,0,0,0.0,0.28,4,0,14,15,1,0
473,1,73,0,0,0.04,0.17,5,1,2,24,1,0
474,1,90,0,0,0.0,0.0,1,0,8,5,1,0
478,1,16,0,0,0.0,0.0,1,0,0,-2,0,0
480,1,90,0,0,0.13,0.06,2,0,3,10,1,0
481,1,62,0,0,0.0,0.25,2,0,6,14,1,0
483,1,61,0,0,0.0,0.0,3,1,3,5,1,0
486,1,73,0,0,0.0,0.16,3,1,8,18,1,0
