,player,team,pos,mins,mins/st,price,CS,Tkl,Int,Clr,defcon,defcon90,GI,GI90,xGI,xGI_fit,Pts,xPts,xPts_fit,xCS,xPts_full,basBPS90,G,xG,xG90,A,xA,xA90,xA_FPL,xA_FPL90,Saves,GK_prevented,rating,fpl_id,etype
29,Adrien Truffert,Bournemouth,DEF,360,90.0,5.5,0,15,7,14,38,9.5,0.0,0.0,0.32,0.34,8.0,9.2,9.3,1.36,14.7,11.8,0,0.09,0.02,0,0.24,0.06,0.25,0.06,0,0.0,6.9,61.0,2.0
30,Jair,Nott'm Forest,DEF,270,90.0,4.5,1,5,3,18,28,9.33,0.0,0.0,0.04,0.04,10.0,10.2,10.2,1.15,10.8,11.7,0,0.03,0.01,0,0.02,0.01,0.01,0.0,0,0.0,6.87,474.0,2.0
31,Ezri Konsa,Arsenal,DEF,191,90.0,4.5,1,5,3,10,19,8.95,0.0,0.0,0.01,0.0,11.0,11.0,11.0,0.84,10.4,16.0,0,0.0,0.0,0,0.01,0.0,0.0,0.0,0,0.0,6.93,31.0,2.0
32,Aaron Hickey,Brentford,DEF,132,70.0,4.5,0,4,2,7,13,8.93,0.0,0.0,0.08,0.05,4.0,4.3,4.2,0.17,4.9,8.2,0,0.03,0.02,0,0.05,0.03,0.02,0.01,0,0.0,6.53,90.0,2.0
33,Ronald Araújo,Liverpool,DEF,195,80.0,5.4,1,3,1,12,19,8.81,0.0,0.0,0.05,0.02,15.0,15.2,15.1,0.97,11.0,24.5,0,0.0,0.0,0,0.06,0.03,0.02,0.01,0,0.0,7.13,579.0,2.0
34,Matheus Nunes,Man City,DEF,123,90.0,5.9,1,2,2,6,12,8.78,0.0,0.0,0.05,0.02,10.0,10.2,10.1,0.37,7.6,27.8,0,0.0,0.0,0,0.05,0.04,0.02,0.01,0,0.0,7.35,389.0,2.0
35,Virgil van Dijk,Liverpool,DEF,360,90.0,6.5,2,5,6,23,35,8.75,0.0,0.0,0.32,0.32,17.0,18.7,18.7,1.28,15.8,17.5,0,0.25,0.06,0,0.08,0.02,0.07,0.02,0,0.0,7.3,356.0,2.0
36,James Hill,Bournemouth,DEF,360,90.0,5.5,0,5,5,25,35,8.75,0.0,0.0,0.77,1.09,8.0,10.3,11.3,1.36,16.7,7.0,0,0.0,0.0,0,0.77,0.19,1.09,0.27,0,0.0,6.8,60.0,2.0
37,Takehiro Tomiyasu,Crystal Palace,DEF,145,73.0,4.5,0,2,5,7,14,8.75,0.0,0.0,0.02,0.01,2.0,2.1,2.0,0.11,2.4,3.7,0,0.0,0.0,0,0.02,0.01,0.01,0.01,0,0.0,6.33,577.0,2.0
38,Issa Diop,Ipswich Town,DEF,360,90.0,4.0,0,4,9,17,35,8.75,0.0,0.0,0.15,0.09,8.0,8.4,8.3,1.56,14.5,8.0,0,0.0,0.0,0,0.15,0.04,0.09,0.02,0,0.0,6.65,259.0,2.0
